cols_2_distinct_10000_corr_2_skew_2 cdcs##cdcs.col0,<,5327,cdcs.col1,>,5455#22030
cols_2_distinct_10000_corr_2_skew_2 cdcs##cdcs.col0,<,7554,cdcs.col1,>,7539#15960
cols_2_distinct_10000_corr_2_skew_2 cdcs##cdcs.col0,=,7956,cdcs.col1,>,2439#7
cols_2_distinct_10000_corr_2_skew_2 cdcs##cdcs.col0,=,1810,cdcs.col1,<,5506#7
cols_2_distinct_10000_corr_2_skew_2 cdcs##cdcs.col0,<,1227,cdcs.col1,>,808#11735
cols_2_distinct_10000_corr_2_skew_2 cdcs##cdcs.col0,=,8816,cdcs.col1,<,5497#2
cols_2_distinct_10000_corr_2_skew_2 cdcs##cdcs.col0,>,5349,cdcs.col1,>,837#36843
cols_2_distinct_10000_corr_2_skew_2 cdcs##cdcs.col0,<,5752,cdcs.col1,=,8444#3
cols_2_distinct_10000_corr_2_skew_2 cdcs##cdcs.col0,=,8746,cdcs.col1,>,2489#3
cols_2_distinct_10000_corr_2_skew_2 cdcs##cdcs.col0,>,4466,cdcs.col1,=,3934#6
cols_2_distinct_10000_corr_2_skew_2 cdcs##cdcs.col0,>,9400,cdcs.col1,=,9403#1
cols_2_distinct_10000_corr_2_skew_2 cdcs##cdcs.col0,<,3145,cdcs.col1,>,2509#23635
cols_2_distinct_10000_corr_2_skew_2 cdcs##cdcs.col0,<,9103,cdcs.col1,>,7995#16809
cols_2_distinct_10000_corr_2_skew_2 cdcs##cdcs.col0,>,708,cdcs.col1,>,8031#17086
cols_2_distinct_10000_corr_2_skew_2 cdcs##cdcs.col0,<,287,cdcs.col1,=,2873#1
cols_2_distinct_10000_corr_2_skew_2 cdcs##cdcs.col0,>,2969,cdcs.col1,>,7235#18418
cols_2_distinct_10000_corr_2_skew_2 cdcs##cdcs.col0,<,4298,cdcs.col1,<,6572#36013
cols_2_distinct_10000_corr_2_skew_2 cdcs##cdcs.col0,<,9980,cdcs.col1,>,1176#87745
cols_2_distinct_10000_corr_2_skew_2 cdcs##cdcs.col0,<,3531,cdcs.col1,=,2908#6
cols_2_distinct_10000_corr_2_skew_2 cdcs##cdcs.col0,>,3835,cdcs.col1,<,2788#12312
cols_2_distinct_10000_corr_2_skew_2 cdcs##cdcs.col0,>,1975,cdcs.col1,<,2582#17208
cols_2_distinct_10000_corr_2_skew_2 cdcs##cdcs.col0,<,3566,cdcs.col1,>,6195#12684
cols_2_distinct_10000_corr_2_skew_2 cdcs##cdcs.col0,>,4508,cdcs.col1,>,9665#1641
cols_2_distinct_10000_corr_2_skew_2 cdcs##cdcs.col0,=,6061,cdcs.col1,<,3566#4
cols_2_distinct_10000_corr_2_skew_2 cdcs##cdcs.col0,=,6581,cdcs.col1,<,9584#8
cols_2_distinct_10000_corr_2_skew_2 cdcs##cdcs.col0,<,7302,cdcs.col1,=,6887#9
cols_2_distinct_10000_corr_2_skew_2 cdcs##cdcs.col0,>,8486,cdcs.col1,>,8246#3451
