cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,<,3471#40602
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,<,9399#96660
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,<,6199#69100
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,>,7379#19651
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,<,9611#98048
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,>,7977#14395
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,>,9940#216
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,<,1923#22951
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,>,2386#71675
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,>,1122#86522
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,>,8594#9329
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,=,5859#7
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,>,4819#44822
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,=,1846#13
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,>,4501#48265
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,>,4397#49339
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,>,3517#58878
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,=,9770#7
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,>,2330#72343
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,>,4420#49116
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,<,1150#13786
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,<,1630#19473
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,<,7176#78475
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,>,16#99804
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,=,8097#5
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,>,3527#58738
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,=,5835#10
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,=,9493#8
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,>,8951#6526
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,>,3122#63235
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,<,6189#68984
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,<,8091#86519
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,<,7857#84579
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,<,4427#50947
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,>,1032#87586
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,<,6799#74948
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,=,5920#11
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,>,8363#11174
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,<,4036#46801
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,>,7500#18560
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,<,8360#88792
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,>,9900#385
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,>,1069#87110
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,<,4319#49800
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,<,2925#34479
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,>,315#96199
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,>,8258#12042
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,=,8904#8
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,<,111#1274
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,<,6179#68882
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,>,6876#24318
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,>,469#94403
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,>,7565#17995
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,<,17#196
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,>,2922#65538
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,=,3923#5
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,=,9861#5
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,<,1033#12414
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,=,2418#18
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,<,3424#40072
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,<,8943#93405
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,<,2588#30645
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,=,6104#7
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,<,2959#34886
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,<,2212#26274
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,>,129#98488
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,<,3862#44956
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,>,8263#12002
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,=,677#13
cols_2_distinct_10000_corr_8_skew_2 cdcs##cdcs.col0,>,4279#50623
