query_no,query,cardinality_predict,cardinality_true,latency_ms,generated_spn_calls,latency_generated_code
0,"SELECT COUNT(*) FROM cols_2_distinct_10000_corr_2_skew_2 cdcs WHERE cdcs.col0>4332 AND cdcs.col1<5943;,27065",27078.416434540548,27065,4.993962123990059,0,0.0
1,"SELECT COUNT(*) FROM cols_2_distinct_10000_corr_2_skew_2 cdcs WHERE cdcs.col0<9152 AND cdcs.col1=7601;,10",9.426573426573476,10,5.170688033103943,0,0.0
2,"SELECT COUNT(*) FROM cols_2_distinct_10000_corr_2_skew_2 cdcs WHERE cdcs.col0=6714 AND cdcs.col1<8302;,8",8.544413301057721,8,5.388068035244942,0,0.0
3,"SELECT COUNT(*) FROM cols_2_distinct_10000_corr_2_skew_2 cdcs WHERE cdcs.col0=1021 AND cdcs.col1>3927;,9",10.504393673110625,9,4.775764420628548,0,0.0
4,"SELECT COUNT(*) FROM cols_2_distinct_10000_corr_2_skew_2 cdcs WHERE cdcs.col0>3462 AND cdcs.col1=6569;,5",5.010489510489514,5,4.831202328205109,0,0.0
5,"SELECT COUNT(*) FROM cols_2_distinct_10000_corr_2_skew_2 cdcs WHERE cdcs.col0=9221 AND cdcs.col1<6422;,2",2.000000000000041,2,4.868108779191971,0,0.0
6,"SELECT COUNT(*) FROM cols_2_distinct_10000_corr_2_skew_2 cdcs WHERE cdcs.col0<8007 AND cdcs.col1>5425;,36368",36358.13085234078,36368,4.715519025921822,0,0.0
7,"SELECT COUNT(*) FROM cols_2_distinct_10000_corr_2_skew_2 cdcs WHERE cdcs.col0<7265 AND cdcs.col1>5024;,36010",36030.02641056408,36010,4.803622141480446,0,0.0
8,"SELECT COUNT(*) FROM cols_2_distinct_10000_corr_2_skew_2 cdcs WHERE cdcs.col0=6692 AND cdcs.col1<9259;,6",6.000000000000123,6,5.2725765854120255,0,0.0
9,"SELECT COUNT(*) FROM cols_2_distinct_10000_corr_2_skew_2 cdcs WHERE cdcs.col0<8147 AND cdcs.col1=4054;,10",9.999999999999993,10,5.1131471991539,0,0.0
